采购项目名称	预算金额	行政区域	网址
交通运输部长江口航道管理局船舶备件采购（No.1804）公开招标公告	￥200万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201805/t20180502_9862690.htm
中国人民武装警察部队青岛市边防支队青岛边防船舶智能管控系统安装及运营服务项目公开招标公告	￥73.87万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180415_9787916.htm
交通运输部东海航海保障中心上海海事测绘中心2018年度长江口深水航道及延伸段、南槽航道水深测量仪器设备、人员、船舶租赁服务项目公开招标公告	￥185万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180412_9778673.htm
中华人民共和国深圳海事局深圳海事局应急指挥系统运维技术服务公开招标公告	￥90万元（人民币）	深圳市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180508_9896567.htm
中国人民武装警察部队营口市边防支队船坞维修项目（营口地区）公开招标公告	￥58.57万元（人民币）	站前区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180424_9827789.htm
黄岛区海洋与渔业局海洋与渔业局执法船坞修项目公开招标公告	详见公告正文	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180403_9738071.htm
中国科学院南海海洋研究所“实验1”轮2018年度保险服务采购项目公开招标公告	￥70万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180415_9786984.htm
厦门市筼筜湖管理中心自动保洁船维修公开招标公告	￥71万元（人民币）	厦门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180517_9946275.htm
长江南京航道工程局2018年第2季度疏浚工程船舶燃润料采购项目公开招标公告	￥2111万元（人民币）	江苏省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180321_9686201.htm
淮滨县辽摊，徐营渡口渡船购置项目招标公告	￥66.2万元（人民币）	信阳市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180424_9827225.htm
2018年度防汛抗旱物资采购项目招标公告	￥670万元（人民币）	郑州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180502_9862111.htm
中华人民共和国上海海事局海事系统30米级新型铝合金巡逻船建造项目监理公开招标公告	￥0万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180402_9737749.htm
清远市清城区农业局执法船艇采购项目公开招标公告	￥240万元（人民币）	清远市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180412_9777475.htm
北京市陶然亭公园管理处设备购置-游船公开招标公告	￥184万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180517_9943839.htm
中华人民共和国深圳海事局深圳海事局信息化相关系统运维技术服务公开招标公告	￥489万元（人民币）	深圳市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180508_9896495.htm
通州建总集团有限公司上海海事局船舶交通管理系统改扩建工程（钢结构工程）公开招标公告	￥290.36万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180413_9785362.htm
广西科联招标中心船舶维修及保养（GXZC2018-G3-15379-KLZB）公开招标公告	￥114.87万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180502_9861895.htm
中华人民共和国上海海事局海事系统30米级新型铝合金巡逻船建造项目公开招标公告	￥0万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180402_9737748.htm
交通运输部东海航海保障中心澜沧江-湄公河海事安全监管设施建设和管理设备采购及服务项目公开招标公告	￥2034.33万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180412_9777542.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180321_9686243.htm
青岛海洋地质研究所浅水多波束调查船租赁服务项目公开招标公告	￥35万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180508_9895793.htm
安徽省皖江船舶检验局办公大楼物业管理	￥202000万元（人民币）	芜湖市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180424_9826636.htm
安徽省淮河船舶检验局物业管理服务皖C-2018-SH-CG-Z-032-1招标公告	￥28.8万元（人民币）	安徽省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180307_9639972.htm
重庆市合川区港航管理处玻璃钢橡皮高速冲锋艇采购（第四次）(17A0542)采购公告	￥240万元（人民币）	合川区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180413_9784633.htm
三亚天岭海上旅游服务有限公司-12.5m交通艇采购项目-公开招标公告	￥350万元（人民币）	三亚市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180210_9580854.htm
深圳市海监渔政处渔业船舶检管分离第三方服务项目公开招标公告	￥105万元（人民币）	深圳市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180320_9683683.htm
北京市密云水库管理处水利工程日常维修养护费—2018年工程船只日常养护二次招标公告	￥92.652万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180412_9776533.htm
中国水产科学研究院东海水产研究所、中国水产科学研究院黄海水产研究所中国水产科学研究院海洋渔业综合科学调查船设备采购项目公开招标公告	￥106万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180402_9737766.htm
长江重庆航道局2018年基本支出常规船舶维修采购框架项目公开招标公告	￥300万元（人民币）	重庆市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180307_9639560.htm
洋浦经济开发区渔政渔港监督管理中心- 洋浦经济开发区渔政渔港监督执法艇-公开招标公告	￥0万元（人民币）	洋浦	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180413_9783184.htm
交通运输部南海救助局14000kW大型巡航救助船（升级版）建造项目设计招标（第二次）公开招标公告	￥1280万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180516_9939517.htm
青岛海洋地质研究所2018年地磁日变观测及东海南部海域地质钻探服务项目公开招标公告	￥280万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180201_9547756.htm
长江南京航道工程局“长鲸2”轮2018年特别检验厂修工程公开招标公告	￥500万元（人民币）	南京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201801/t20180117_9488238.htm
中国海监第八支队船舶物料购置项目公开招标公告	￥250万元（人民币）	黄埔区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180320_9682526.htm
中国科学院深海科学与工程研究所探索一号科考船供油及服务采购项目公开招标公告	￥2500万元（人民币）	三亚市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201802/t20180209_9579979.htm
秦皇岛市北戴河区农牧局所需拆解“三无”渔船及海上执法船舶项目公开招标	￥264.339万元（人民币）	北戴河区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180306_9637191.htm
中国人民武装警察部队吉林市支队船艇维修采购项目招标公告	￥15万元（人民币）	吉林市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180131_9542088.htm
秦皇岛市北戴河区农牧局租用船舶及雇佣人员治理渔船噪音、船舶非法载客竞争性谈判采购公告	￥75万元（人民币）	北戴河区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180411_9773511.htm
中国水产科学研究院东海水产研究所、中国水产科学研究院黄海水产研究所中国水产科学研究院海洋渔业综合科学调查船设备采购项目公开招标公告	￥70万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180402_9737767.htm
2018年度朱家角镇朱家角片区镇村级河道长效管理的公开招标公告	￥988.24万元（人民币）	青浦区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180112_9470130.htm
长江南京航道工程局“长鲸2”轮专业设备修理工程公开招标公告	￥300万元（人民币）	南京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201801/t20180117_9488144.htm
上海市环境保护局总量控制处污普移动污染源专项调查采购招标项目公开招标公告	￥363万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180306_9637288.htm
武宣县水利局广西真诚工程咨询有限公司关于广西柳江、黔江武宣县河段河道采砂权出让项目招标公告（重）公开招标公告	￥520万元（人民币）	武宣县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180209_9577889.htm
宜昌市夷陵区港航管理局海巡救助艇采购项目招标公告	￥1000万元（人民币）	湖北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180131_9541442.htm
上海金山排海工程有限公司上海市金山区新江水质净化二厂及配套管网工程排海管及排海泵站工程排海管段桩基式水中灯桩公开招标公告	￥476万元（人民币）	金山区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180320_9682457.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180402_9738108.htm
云南省公安边防总队水上支队船艇中修项目公开招标公告	￥361.9479万元（人民币）	昆明市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180306_9636373.htm
京杭运河大清河航道工程勘察及设计项目公开招标公告	详见公告正文	泰安市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180411_9772061.htm
中国水产科学研究院南海水产研究所渔业资源调查船“南锋”、“南锋2”号常见航修工程服务商招标项目招标公告	￥120万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180209_9577742.htm
国家海洋局第二海洋研究所专项调查航次科考用船项目（2018年4月-8月航次）公开招标公告	￥990万元（人民币）	杭州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201801/t20180130_9536940.htm
海巡船艇运行维护公开招标公告	￥47万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180402_9736322.htm
长江九江航道处2018年船舶维修服务采购项目公开招标公告	￥266万元（人民币）	九江市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201803/t20180319_9674942.htm
长江航道局2018年度长江航道疏浚维护市场化项目施工（包2、包3、包4、包5）公开招标公告	￥14150万元（人民币）	江岸区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180411_9771665.htm
2018年度金泽镇莲盛片区镇村级河道长效管理的公开招标公告	￥729.8万元（人民币）	青浦区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180112_9470121.htm
湖南省防汛抗旱物资储备中心省级防汛物资采购项目公开招标公告	￥800万元（人民币）	湖南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180209_9576254.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180306_9636477.htm
上海交通大学船舶海洋与建筑工程学院高精度三维运动捕捉系统设备公开招标公告	￥158万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180410_9767009.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180319_9676719.htm
中华人民共和国浙江海事局海事船舶安全监督管理系统(一期)与浙江海事局现场综合执法系统数据对接整合项目公开招标公告	￥80万元（人民币）	杭州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180129_9532029.htm
交通运输部东海救助局“东海救131”轮中间检验修理公开招标公告	￥180万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201802/t20180209_9575200.htm
中国科学院南海海洋研究所新型地球物理综合科学考察船项目船舶设计公开招标公告	￥1000万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201803/t20180305_9632292.htm
中华人民共和国天津海事局船用燃油质量抽检项目公开招标公告	￥500万元（人民币）	天津市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180402_9734606.htm
2018年度朱家角镇沈巷片区镇村级河道长效管理的公开招标公告	￥818万元（人民币）	青浦区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180112_9470120.htm
台山市烽火角区域性避风锚地建设项目200吨渔港消防船施工图设计与建造项目招标公告	详见公告正文	江门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180116_9485719.htm
广西龙潭国家森林公园大华建设项目管理有限公司游船采购（项目编号：DHRGH2017039）公开招标公告	￥134万元（人民币）	桂平市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180208_9574567.htm
陆水河节堤枢纽至京港澳高速桥段航道工程招标公告	￥897万元（人民币）	湖北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180316_9672456.htm
青岛海洋地质研究所货物和服务招标项目公开招标公告	￥290万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201803/t20180302_9626614.htm
广州海洋地质调查局船舶机油采购项目公开招标公告	￥327万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180410_9767068.htm
象山县海洋与渔业行政执法大队中国渔政33205维修采购的采购公告	￥150万元（人民币）	象山县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180111_9468313.htm
威海市专用仪器公开招标公告	详见公告正文	威海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180128_9529088.htm
福建省湄洲湾港口管理局综合行政执法艇建造采购项目招标公告	￥650万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180116_9483968.htm
上海市码头管理中心港口工作船建造监理项目公开招标公告	￥70.9万元（人民币）	浦东新区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180316_9670935.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180208_9572630.htm
三峡电能（湖北）有限公司广西北部湾港（防城港区、钦州大榄坪保税港区）船舶岸电建设工程EPC总承包公开招标公告	￥2100万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180111_9467224.htm
广西科文招标有限公司中国渔政45013船修理工程（KWEZ5G2018021）公开招标公告	￥244.6066万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180410_9766118.htm
福建省湄洲湾港口管理局综合行政执法艇建造采购项目公开招标公告	￥650万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180116_9483697.htm
2018年长江芜湖航道处船舶、设备维修项目公开招标公告	￥426.65万元（人民币）	芜湖市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180302_9626135.htm
蚌埠市港航管理局皖海巡0609等四艘海巡艇维修采购项目皖C-2018-ZF-CG-Z-053-1招标公告	￥.0037万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180315_9665558.htm
中华人民共和国天津海事局船舶大气污染物排放清单与监测布局方案研究项目公开招标公告	￥300万元（人民币）	天津市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180402_9734533.htm
中华人民共和国惠州海事局惠州海事局2018年船员服务外包项目公开招标公告	￥161万元（人民币）	惠州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180126_9527293.htm
福建省公安边防总队小型船舶防越界系统硬件及终端采购项目公开招标公告	￥214.01万元（人民币）	福州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180116_9483335.htm
南陵县弋江镇凤洲渡渡船采购项目	￥351794.63万元（人民币）	南陵县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180111_9464831.htm
威海海事局海巡船艇运行服务外包公开招标公告	详见公告正文	威海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180208_9572142.htm
中华人民共和国佛山海事局关于“船舶运行服务外包项目”项目招标公告	详见公告正文	佛山市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180124_9516040.htm
中国人民武装警察部队吉林市支队船艇维修采购项目二次招标公告	￥15万元（人民币）	吉林市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180301_9622778.htm
中国人民武装警察部队佳木斯市边防支队黑瞎子岛边防大队水上移动警务室建造工程公开招标公告	￥182万元（人民币）	佳木斯市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180402_9734421.htm
中华人民共和国闵行海事局2018年度船舶修理（第一次）采购项目公开招标公告	￥33万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180410_9764936.htm
日照边防检查站船舶动态显示系统等项目（二次公开招标）	￥20.549万元（人民币）	东港区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180116_9482539.htm
长江南京航道处2018年四艘小修船舶进厂维修项目公开招标公告	￥74.95万元（人民币）	南京市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180314_9664983.htm
中华人民共和国佛山海事局佛山市水上综合指挥船建造项目公开招标公告	详见公告正文	佛山市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180208_9571732.htm
中国海监第七支队执法艇2017年特检坞检修理工程项目（第三次）公开招标公告	￥90万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201803/t20180301_9620821.htm
宁波物资采购站靶标器材的采购公告	￥500万元（人民币）	宁波市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180409_9761237.htm
厦门昆仑石油化工有限公司2018年大连至厦门港润滑油海运项目公开招标公告	￥400万元（人民币）	鼓楼区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180110_9464721.htm
10000m3耙吸式挖泥船设计项目二次招标公告	￥450万元（人民币）	黄骅市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180123_9512567.htm
长江上海航道处2018年船舶维修服务采购项目公开招标公告	￥344万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201803/t20180314_9662910.htm
辽宁省渔业互保协会船用保暖工作救生衣采购项目公开招标公告	￥242万元（人民币）	沙河口区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180330_9730223.htm
山东省公安边防总队海警第二支队舰船维修保养项目公开招标公告	￥490.620836万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180115_9482158.htm
海南省公安边防总队海警第二支队-海南省公安边防总队海警第二支队船舶拖带项目-公开招标公告	￥93万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180409_9758397.htm
山东省公安边防总队海警第二支队舰船报废拆解回收项目公开招标公告	￥3.5万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180110_9464439.htm
芜湖45m渔政趸船（二次招标）	￥4100000万元（人民币）	芜湖市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180301_9620732.htm
秦皇岛市北戴河区农牧局所需拆解“三无”渔船及海上执法船舶项目第二次公开招标公告	￥264.339万元（人民币）	北戴河区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180330_9728158.htm
福建省宝廉投资咨询有限公司关于泉州新港拖轮有限公司船舶保险服务采购的公开招标公告	￥120万元（人民币）	泉港区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180314_9662178.htm
上海国际招标有限公司关于上海交通大学船舶海洋与建筑工程学院船海水动力学高性能计算集群工作站扩容（项目编号：16603742/学校编号：招(设)[2017][A]075号）的招标公告	￥320万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180123_9512281.htm
芜湖45m渔政趸船（项目编号：WH22CG2018HW0011)	￥4100000万元（人民币）	芜湖市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180110_9462181.htm
安徽省淮河船舶检验局物业管理服务皖C-2018-SH-CG-Z-032-1招标公告	￥.00288万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180208_9569532.htm
深圳市公安边防支队船舶保险采购项目公开招标公告	￥36.35万元（人民币）	深圳市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180115_9481890.htm
滦南县水产局海洋渔船救生设备更新采购项目（三次）招标公告	￥181.7万元（人民币）	滦南县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180228_9618568.htm
长江航道局2018年度长江航道南通（天生港）以下12.5米深水航道疏浚维护施工公开招标公告	￥12955万元（人民币）	江岸区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180408_9757256.htm
长江镇江航道处2018年船舶维修服务采购项目公开招标公告	￥130万元（人民币）	镇江市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201801/t20180122_9510271.htm
莆田市忠湄轮渡有限责任公司船舶救生、消防设备检验项目(重新招标）公开招标公告	￥30.856万元（人民币）	莆田市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180313_9661331.htm
交通运输部东海航海保障中心上海海事测绘中心2018年度长江口深水航道及延伸段、南槽航道水深测量仪器设备、人员、船舶租赁服务项目公开招标公告	￥165万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201803/t20180330_9727543.htm
滦南县水产局海洋渔船通导与安全装备建设项目（二次）招标公告	￥216.25万元（人民币）	滦南县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180228_9618566.htm
封开县交通运输局封开县水上住家船居民上岸安置民生工程住家船拆解服务采购项目(二次)公开招标公告	详见公告正文	封开县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180207_9566751.htm
中国海监第四支队2018-2019年度船舶物料配件供货资格及服务采购项目的采购公告	￥50万元（人民币）	宁波市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180115_9480758.htm
海南省防汛物资储备管理中心-防汛物资采购-公开招标公告	￥840万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180330_9727093.htm
滦南县水产局海洋渔船救生设备更新采购项目招标公告	￥181.7万元（人民币）	滦南县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180122_9509346.htm
汕头市港口管理局汕头港广澳港区航道二期工程施工期通航安全维护公开招标公告	详见公告正文	汕头市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180228_9617739.htm
中国地质科学院地质力学研究所2018年船舶租赁服务公开招标公告	￥162.5万元（人民币）	北京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180408_9755450.htm
潜江市荆汉建材有限公司汉江河道采砂作业服务采购 公开招标公告	￥2100万元（人民币）	湖北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180109_9457363.htm
莆田市忠湄轮渡有限责任公司船舶救生、消防设备检验项目公开招标公告	￥30.856万元（人民币）	莆田市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180205_9559346.htm
北京市密云水库管理处水利工程日常维修养护费—2018年工程船只日常养护公开招标公告	￥92.652万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180313_9660609.htm
大连海事大学经济责任审计项目公开招标公告	￥15万元（人民币）	辽宁省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180330_9725998.htm
中华人民共和国福州海事局福州海事局船舶交通管理和通信系统运行维护社会化服务项目公开招标公告	￥848.45万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180227_9614446.htm
中国科学院海洋研究所“科学三号”轮船舶坞修项目公开招标公告	￥160万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180313_9660213.htm
莆田市忠湄轮渡有限责任公司新建钢铝复合豪华单体客船监理项目公开招标公告	￥42万元（人民币）	莆田市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180205_9559282.htm
滦南县水产局海洋渔船通导与安全装备建设项目招标公告	￥216.25万元（人民币）	滦南县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180122_9509345.htm
中国海监第七支队执法艇2017年特检坞检修理工程项目（第二次）公开招标公告	￥90万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201801/t20180109_9456255.htm
抚仙湖执法船艇采购项目（二次）招标公告	￥509.9万元（人民币）	玉溪市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180330_9725890.htm
引航船采购及服务招标公告	￥940万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180408_9755009.htm
海南省海洋与渔业监察总队-海南省海洋与渔业监察总队2018-2019年度船舶一切险-公开招标公告	￥115.854914万元（人民币）	美兰区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180227_9613475.htm
交通运输部北海航海保障中心天津航标处天津航标处2018年度物业及食堂服务项目公开招标公告	￥150万元（人民币）	天津市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201803/t20180328_9715786.htm
中国海监第四支队2018-2019年度国际牌（船舶漆）油漆供货资格及服务采购项目的采购公告	￥50万元（人民币）	宁波市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180115_9480743.htm
广州市公安局船舶保险服务公开招标公告	￥65万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180408_9754881.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180312_9656419.htm
交通运输部东海航海保障中心东海航海保障中心大型航标船建造项目监理服务采购公开招标公告	￥110万元（人民币）	徐汇区	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201801/t20180122_9507881.htm
宁波海事局宁波海事局海巡0713、海巡07135船舶修理项目（2018年）的采购公告	￥96万元（人民币）	宁波市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180205_9558206.htm
中国船舶重工集团第七二五研究所厦门材料研究院开闭所公开招标公告	￥1000.39万元（人民币）	厦门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180327_9715007.htm
广西真诚工程咨询有限公司2018年钦州海事局海巡船艇维修保养服务（GXZC2018-G3-0002-ZCBBW）公开招标公告	￥156.0008万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180226_9611835.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180312_9656309.htm
中国人民银行上海分行物业管理及服务项目公开招标公告	￥2200万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180205_9557814.htm
武宣县水利局广西柳江、黔江武宣县河段河道采砂权出让项目（重二）公开招标公告	￥270万元（人民币）	武宣县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180327_9712087.htm
沧州黄骅港航务工程有限公司10000m3耙吸式挖泥船设计项目公开招标公告	￥450万元（人民币）	黄骅市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180115_9480535.htm
中港客运联营有限公司中山港中深航线船舶燃油采购项目公开招标公告	￥640万元（人民币）	中山市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201801/t20180122_9506139.htm
