采购项目名称	预算金额	行政区域	网址
中国科学院广州能源研究所海岛快艇租赁服务采购项目公开招标公告	￥90.000000万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201811/t20181116_11128225.htm
辽宁省海警总队筹备组辽宁海警300吨级海警船南方型改北方型改装工程公开招标公告	￥280.000000万元（人民币）	甘井子区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181030_10996897.htm
中华人民共和国北仑边防检查站北仑边防检查站船艇修理项目公开招标公告	￥25.000000万元（人民币）	宁波市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201809/t20180929_10807462.htm
广州市公安局2018-2020年度船舶定点维修服务项目（二次重招）（采购项目编号：GZCQC1800FG06012）招标公告	￥140.000000万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181207_11295548.htm
福建省泉州港口管理局集成管理系统平台建设采购项目招标公告	￥500.000000万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181126_11189969.htm
淅川县2018年农村渡口渡船采购项目招标公告	￥190.000000万元（人民币）	淅川县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181112_11083756.htm
潮州市潮安区水务局全自动水面清洁船采购项目（项目编号：GZSKCZ18/135）公开招标公告	￥127.066666万元（人民币）	汕头市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181226_11426242.htm
中国科学院海洋研究所船舶维修保养定点服务招标项目公开招标公告	￥0.000000万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181030_10994483.htm
国家海洋局南海分局海测3301船实验室改造及维修工程招标公告	￥399.883400万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181116_11128751.htm
中华人民共和国上海海事局海事调查实验室完善工程水下船舶勘验及取样设备购置公开招标公告	￥605.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201809/t20180929_10806025.htm
崖门出海航道维护疏浚(委外项目2)（采购编号：GZSW18171FG3151）招标公告	￥1080.000000万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181018_10917362.htm
镇赉县渔政渔港监督管理站镇赉县渔港升级改造和整治维护项目公开招标公告	￥716.390600万元（人民币）	镇赉县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181207_11295227.htm
泉港区南埔镇惠屿村民委员会南埔镇惠屿村88客位双体客渡船采购项目公开招标公告	￥357.270800万元（人民币）	泉港区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181126_11189506.htm
中国人民解放军海军大连舰艇学院船舶VDR技术保障综合管理系统和技术状态检查管理系统公开招标公告	￥168.000000万元（人民币）	大连市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181112_11083401.htm
开封市宋都水系旅游有限公司船舶采购招标公告	￥120.000000万元（人民币）	开封市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181226_11422742.htm
国家海洋局南海分局船队船员劳务派遣和船舶管理服务项目（重招）公开招标公告	￥1615.200000万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201811/t20181116_11127588.htm
